generation,rf_count,rf_best_f1,rf_avg_f1,rf_best_acc,rf_best_score,rf_avg_score,knn_count,knn_best_f1,knn_avg_f1,knn_best_acc,knn_best_score,knn_avg_score,global_best_f1,global_best_score,global_best_type,stopped_early
1,4,0.987902,0.933349,0.98792,0.987909,0.935173,4,0.969464,0.966283,0.96984,0.969614,0.966454,0.987902,0.987909,RF,False
2,3,0.987902,0.982914,0.98792,0.987909,0.982948,5,0.970644,0.968075,0.97094,0.970762,0.968232,0.987902,0.987909,RF,False
